date,SO2,CO,PM10,NO2,O3,PM2.5
2022-03-09 10:00:00,9.416818182,313.13,21.85272727,10.51409091,25.38409091,20.71954545
2022-03-09 11:00:00,5.791666667,353.6616667,16.47125,14.3625,33.92083333,15.205
2022-03-09 12:00:00,0.568518519,314.1966667,12.90481481,37.89222222,35.60296296,11.71148148
2022-03-09 13:00:00,4.985909091,279.8613636,12.31772727,33.85136364,27.99045455,11.50181818
2022-03-09 14:00:00,7.93,256.3946154,6.533461538,26.27038462,21.39307692,6.141538462
2022-03-09 15:00:00,8.997586207,272.9682759,13.78448276,23.72344828,22.48827586,13.0362069
2022-03-09 16:00:00,9.87,296.5822727,18.84363636,16.55590909,19.20136364,18.03
2022-03-09 17:00:00,12.02818182,315.7586364,31.30727273,13.80545455,17.45545455,28.10545455
2022-03-09 18:00:00,9.304782609,280.0413043,14.54,19.39565217,21.71782609,13.96391304
2022-03-09 19:00:00,12.935,363.07,35.08363636,23.69227273,18.64681818,30.23454545
2022-03-09 20:00:00,9.592272727,305.4518182,12.64818182,23.12272727,19.53454545,12.15818182
2022-03-09 21:00:00,6.356818182,219.2954545,9.068181818,22.72954545,23.32181818,8.605
2022-03-09 22:00:00,9.8896875,253.5325,12.93625,25.5375,19.2415625,12.274375
2022-03-09 23:00:00,8.00962963,219.9881481,13.66111111,24.49962963,19.45,12.71037037
2022-03-10 00:00:00,5.48,215.0377273,12.26727273,25.98772727,20.50090909,11.62772727
2022-03-10 01:00:00,6.909230769,210.0638462,13.20435897,20.38820513,22.20230769,12.59615385
2022-03-10 02:00:00,5.129166667,202.2141667,11.16055556,19.92027778,21.97472222,10.63611111
2022-03-10 03:00:00,4.010434783,207.8504348,10.03956522,18.29521739,24.26652174,9.469130435
2022-03-10 04:00:00,4.685862069,202.4186207,10.34827586,18.35551724,24.16172414,9.723793103
2022-03-10 05:00:00,5.896551724,201.1389655,9.410689655,17.72482759,22.97103448,8.869655172
2022-03-10 06:00:00,5.291538462,201.6061538,8.866923077,16.10076923,23.56461538,8.508461538
2022-03-10 07:00:00,11.80045455,276.9909091,11.73,17.37045455,17.21772727,11.18227273
2022-03-10 08:00:00,12.94933333,232.1453333,10.252,9.121,18.32833333,9.804
2022-03-10 09:00:00,18.30821429,312.8082143,23.12071429,5.605,20.25,21.56071429
2022-03-10 10:00:00,18.04772727,423.4722727,36.29636364,15.64909091,24.70772727,32.17636364
2022-03-10 11:00:00,12.46461538,423.8784615,27.87884615,11.87115385,35.99230769,26.11423077
2022-03-10 12:00:00,10.55071429,457.5325,28.085,10.99785714,41.43857143,26.30571429
